«”г «бб«Џ»;«бЏг—;«бг—я“;Џѕѕ «б г—н—« ;ѕё… «б г—н—«  (%);Џѕѕ «б ”ѕнѕ« ;Џѕѕ «б√еѕ«Ё;д”»… «бдћ«Ќ Ён «бгж«ће«  (%);«б”—Џ… «бё’жм (яг/”);«бг”«Ё… «бгёЎжЏ… (яг);гЏѕб д»÷ «бёб»;д”»… «б Џ» Ён де«н… «б‘жЎ;«б ённг «бЏ«г; ’днЁ «бб«Џ»; ’днЁ «бб«Џ»2
 —ян «бг«бян;15;ж”Ў;39;66.72;5;3;70.17;27.93;6.13;133;15.78;7.85;гжеж»;гжеж»
Џ»ѕ«ббе «бџ«гѕн;15;Ќ«—”;33;82.62;4;2;86.27;28.17;7.97;141;27.89;7.85;гжеж»;гжеж»
Џ»ѕ«ббе «бџ«гѕн;25;ѕЁ«Џ;65;92.95;4;1;52.25;32.16;8.69;144;26.25;5.51;џн— гжеж»;џн— гжеж»
Џ»ѕ«ббе «бЏ н»н;17;ж”Ў;69;76.31;3;3;76.42;27.80;8.84;158;20.10;7.04;гжеж»;гжеж»
гЌгѕ «б»бжн;19;Ќ«—”;23;81.73;4;5;61.58;26.91;6.20;127;40.90;7.33;гжеж»;гжеж»
Џ»ѕ«ббе «бЌ—»н;23;ећжг;34;70.12;1;0;78.68;26.44;9.38;152;25.23;5.75;џн— гжеж»;џн— гжеж»
”«бг «б»бжн;25;ѕЁ«Џ;12;84.59;0;0;49.72;25.55;8.16;137;18.48;6.58;џн— гжеж»;џн— гжеж»
—«я«д «б—жнбн;23;ж”Ў;17;92.38;1;0;69.96;29.69;10.61;130;41.38;7.25;џн— гжеж»;гжеж»
Џ»ѕ«ббе «б—жнбн;26;ѕЁ«Џ;37;72.88;3;2;77.79;23.45;8.98;124;47.02;8.77;гжеж»;гжеж»
Џ»ѕ«ббе «бЏ н»н;24;Ќ«—”;49;70.64;7;4;57.02;31.97;6.46;176;43.38;4.66;џн— гжеж»;џн— гжеж»
д«’— «б—жнбн;22;ж”Ў;73;81.48;3;0;89.66;25.53;8.08;126;19.89;7.17;џн— гжеж»;гжеж»
д«’— «бг«бян;25;ѕЁ«Џ;93;88.88;4;0;47.6;31.80;11.14;158;11.80;8.33;гжеж»;гжеж»
гЌгѕ «б‘г—н;22;ж”Ў;15;66.86;7;3;71.02;31.06;9.06;173;48.40;8.55;гжеж»;гжеж»
Џ»ѕ«ббе «бџ«гѕн;22;Ќ«—”;62;91.90;6;1;74.76;25.20;9.03;155;49.57;5.43;џн— гжеж»;џн— гжеж»
гЌгѕ «бџ«гѕн;26;ѕЁ«Џ;24;82.50;8;0;69.46;30.00;7.71;130;26.96;5.78;џн— гжеж»;џн— гжеж»
—«я«д «б—жнбн;20;ж”Ў;48;67.77;7;3;87.46;30.43;7.72;153;18.73;7.60;гжеж»;гжеж»
 —ян «бёЌЎ«дн;26;ж”Ў;29;64.16;8;0;85.93;26.88;9.86;151;12.36;4.75;џн— гжеж»;џн— гжеж»
√Ќгѕ «б“е—«дн;27;ѕЁ«Џ;38;73.22;9;5;53.14;32.85;9.12;115;38.66;8.60;гжеж»;гжеж»
Ёеѕ «бЌ—»н;26;Ќ«—”;51;94.31;10;1;60.08;31.76;10.41;163;47.93;7.08;џн— гжеж»;гжеж»
—«я«д «бџ«гѕн;24;Ќ«—”;94;85.01;5;0;53.92;27.53;10.59;171;47.30;6.92;џн— гжеж»;џн— гжеж»
Ёеѕ «бёЌЎ«дн;23;ећжг;84;80.64;1;3;56.37;31.52;8.11;142;30.34;9.41;гжеж»;гжеж»
”Џжѕ «бЏд“н;18;ж”Ў;34;61.23;8;2;53.5;32.19;7.33;150;15.18;8.09;гжеж»;гжеж»
—«я«д «б“е—«дн;25;Ќ«—”;62;90.98;0;2;64.59;28.45;7.98;173;22.72;6.66;џн— гжеж»;џн— гжеж»
 —ян «бёЌЎ«дн;27;Ќ«—”;29;63.73;12;1;85.59;30.14;7.03;176;25.92;5.94;џн— гжеж»;џн— гжеж»
гЌгѕ «бЌ—»н;28;ѕЁ«Џ;31;73.79;1;1;85.3;33.26;10.59;174;17.67;7.88;гжеж»;гжеж»
гЌгѕ «б“е—«дн;17;ећжг;66;87.95;3;0;78.23;27.79;6.04;153;23.28;7.51;гжеж»;гжеж»
 —ян «б“е—«дн;16;ећжг;88;81.53;5;6;64.25;29.37;7.01;168;20.25;8.04;гжеж»;гжеж»
Џ»ѕ«ббе «бг«бян;22;Ќ«—”;39;78.20;4;6;82.33;31.53;8.53;161;15.84;5.23;џн— гжеж»;џн— гжеж»
Џ»ѕ«ббе «бЏ н»н;17;ећжг;17;63.64;3;0;59.78;31.75;7.03;135;14.88;4.40;џн— гжеж»;џн— гжеж»
 —ян «бг«бян;26;ећжг;53;70.36;6;3;66.64;32.10;7.54;144;33.22;7.47;гжеж»;гжеж»
д«’— «б—жнбн;18;ж”Ў;19;86.90;10;4;52.9;26.51;7.33;141;24.59;7.15;гжеж»;гжеж»
ќ«бѕ «б—жнбн;24;ећжг;47;65.01;0;0;79.94;34.22;10.72;133;15.87;7.74;гжеж»;гжеж»
гЌгѕ «б“е—«дн;17;ѕЁ«Џ;45;68.37;2;2;67.35;28.09;7.62;163;23.57;9.63;гжеж»;гжеж»
”«бг «бг«бян;17;ѕЁ«Џ;37;62.81;1;0;50.42;29.10;6.47;128;18.78;8.45;гжеж»;гжеж»
гЌгѕ «бЏд“н;21;ѕЁ«Џ;65;68.34;7;4;55.1;29.54;10.46;165;25.26;5.94;џн— гжеж»;џн— гжеж»
гЌгѕ «б»бжн;25;ећжг;42;60.86;7;2;66.06;33.06;6.52;170;41.64;8.59;гжеж»;гжеж»
Ёеѕ «б»бжн;22;ж”Ў;49;83.57;4;1;59.11;25.44;11.14;125;27.84;7.62;гжеж»;гжеж»
√Ќгѕ «бЏд“н;21;ж”Ў;19;88.84;4;0;52.77;30.70;10.59;127;32.64;7.09;џн— гжеж»;гжеж»
гЌгѕ «б»бжн;16;ж”Ў;23;78.36;4;1;43.34;24.61;10.47;154;43.58;7.11;гжеж»;гжеж»
гЌгѕ «б“е—«дн;23;Ќ«—”;67;65.43;2;1;59.56;30.14;8.51;165;37.82;5.28;џн— гжеж»;џн— гжеж»
”Џжѕ «бЌ—»н;24;ѕЁ«Џ;54;89.25;11;5;61.38;26.50;7.52;143;22.10;7.17;гжеж»;гжеж»
Џ»ѕ«ббе «бџ«гѕн;19;Ќ«—”;29;70.95;10;3;78.22;33.34;11.13;137;47.68;7.03;гжеж»;гжеж»
гЌгѕ «б“е—«дн;21;Ќ«—”;46;87.80;8;1;80.25;27.90;8.23;139;35.38;8.45;гжеж»;гжеж»
√Ќгѕ «бёЌЎ«дн;18;ећжг;63;90.87;0;0;50;27.84;9.17;138;18.71;5.26;џн— гжеж»;џн— гжеж»
√Ќгѕ «б—жнбн;22;ж”Ў;56;69.31;9;6;87.39;29.42;7.92;166;45.70;4.55;џн— гжеж»;џн— гжеж»
 —ян «б“е—«дн;27;ѕЁ«Џ;85;77.08;8;0;65.98;28.09;6.85;143;15.44;5.87;џн— гжеж»;џн— гжеж»
”«бг «б‘г—н;19;ѕЁ«Џ;10;91.42;1;1;50.07;27.96;8.92;146;28.52;8.60;гжеж»;гжеж»
√Ќгѕ «б»бжн;17;ж”Ў;92;85.69;1;2;82.87;25.29;9.53;149;30.15;5.79;џн— гжеж»;џн— гжеж»
 —ян «бЏ н»н;24;ж”Ў;75;72.04;4;3;50.04;23.60;11.32;179;19.45;5.30;џн— гжеж»;џн— гжеж»
√Ќгѕ «бёЌЎ«дн;17;ѕЁ«Џ;82;94.53;0;0;46.18;25.54;10.54;140;10.19;6.48;џн— гжеж»;џн— гжеж»
”«бг «бЏд“н;19;ж”Ў;70;80.03;9;1;57.15;28.78;9.38;153;21.42;6.16;џн— гжеж»;џн— гжеж»
Ёеѕ «бџ«гѕн;22;ж”Ў;57;77.28;5;3;47.65;26.23;6.60;177;34.92;4.28;џн— гжеж»;џн— гжеж»
”Џжѕ «б“е—«дн;25;ећжг;26;84.33;0;0;44.29;30.31;8.63;180;49.70;6.93;џн— гжеж»;џн— гжеж»
д«’— «бЌ—»н;19;ж”Ў;49;91.06;9;2;87.09;32.29;8.43;150;37.25;9.16;гжеж»;гжеж»
—«я«д «бЏ н»н;21;Ќ«—”;71;63.34;0;1;75.47;30.31;8.23;137;17.97;8.93;гжеж»;гжеж»
√Ќгѕ «бџ«гѕн;24;ж”Ў;11;73.67;6;2;78.72;31.72;9.74;118;21.04;8.10;гжеж»;гжеж»
√Ќгѕ «б“е—«дн;19;ѕЁ«Џ;27;64.40;9;1;75.36;25.21;8.32;168;25.38;6.76;џн— гжеж»;џн— гжеж»
 —ян «б—жнбн;18;ж”Ў;50;72.70;7;2;42.21;30.94;6.32;133;48.90;8.60;гжеж»;гжеж»
√Ќгѕ «бЏд“н;28;Ќ«—”;47;77.64;3;0;88.98;27.11;9.32;145;44.35;6.66;џн— гжеж»;џн— гжеж»
”«бг «б»бжн;24;ећжг;84;68.97;4;0;61.65;32.24;10.75;125;35.73;7.66;гжеж»;гжеж»
”Џжѕ «б“е—«дн;21;ећжг;17;81.50;5;3;72.79;27.49;11.56;169;35.06;7.64;гжеж»;гжеж»
гЌгѕ «бёЌЎ«дн;23;ећжг;26;86.14;4;2;47.27;24.30;10.22;171;23.19;4.98;џн— гжеж»;џн— гжеж»
Џ»ѕ«ббе «б‘г—н;21;Ќ«—”;40;92.58;9;1;60.68;27.69;9.55;164;46.32;6.63;џн— гжеж»;џн— гжеж»
ќ«бѕ «б—жнбн;22;Ќ«—”;31;67.78;9;1;70.59;28.48;8.91;130;19.32;8.57;гжеж»;гжеж»
”Џжѕ «бЏ н»н;21;ж”Ў;15;70.32;11;1;43.36;27.60;11.29;145;16.95;7.13;гжеж»;гжеж»
Ёеѕ «б—жнбн;18;Ќ«—”;90;72.54;10;2;50.65;32.82;7.05;166;21.03;6.73;џн— гжеж»;џн— гжеж»
—«я«д «б»бжн;23;ж”Ў;31;83.95;6;0;81.29;30.43;9.60;132;22.00;8.80;гжеж»;гжеж»
”Џжѕ «б“е—«дн;17;ж”Ў;58;79.82;2;1;81.19;32.00;10.56;164;45.72;5.48;џн— гжеж»;џн— гжеж»
Џ»ѕ«ббе «бЌ—»н;19;ећжг;81;72.89;0;0;86.75;27.74;10.90;167;22.23;8.81;гжеж»;гжеж»
”«бг «бЏ н»н;22;ећжг;80;88.04;8;2;63.17;24.34;7.31;152;32.63;9.42;гжеж»;гжеж»
Ёеѕ «б»бжн;22;ж”Ў;42;92.74;1;1;68.86;28.88;10.13;124;33.74;7.90;гжеж»;гжеж»
гЌгѕ «бЏ н»н;23;ећжг;18;72.28;5;3;81.7;26.46;8.74;159;34.40;7.94;гжеж»;гжеж»
гЌгѕ «б“е—«дн;24;ж”Ў;51;74.62;0;1;61.18;24.95;8.54;151;43.91;5.12;џн— гжеж»;џн— гжеж»
Џ»ѕ«ббе «б“е—«дн;24;ећжг;9;89.62;0;1;68.02;27.45;11.90;138;20.93;9.72;гжеж»;гжеж»
—«я«д «бЏд“н;22;ећжг;31;77.84;4;2;67.49;25.91;7.95;177;14.06;7.37;гжеж»;гжеж»
ќ«бѕ «б»бжн;19;ж”Ў;55;93.76;0;0;60.97;32.29;9.46;131;14.81;5.03;џн— гжеж»;џн— гжеж»
”«бг «бЏ н»н;23;Ќ«—”;50;88.09;1;1;83.07;27.18;8.56;149;19.73;6.25;џн— гжеж»;џн— гжеж»
√Ќгѕ «б—жнбн;19;Ќ«—”;52;63.83;3;1;59.83;32.15;9.06;148;40.17;4.84;џн— гжеж»;џн— гжеж»
Џ»ѕ«ббе «бЏд“н;20;ѕЁ«Џ;89;61.32;8;0;84.42;24.91;10.51;146;48.36;9.66;гжеж»;гжеж»
—«я«д «бЌ—»н;19;Ќ«—”;59;63.82;5;0;80.04;31.07;10.64;166;38.70;9.15;гжеж»;гжеж»
д«’— «бЏд“н;20;ећжг;23;65.37;0;0;83.82;32.29;10.28;149;18.74;8.56;гжеж»;гжеж»
ќ«бѕ «б—жнбн;25;ж”Ў;37;84.33;0;2;75.03;25.91;6.62;156;23.10;9.02;гжеж»;гжеж»
Џ»ѕ«ббе «б“е—«дн;28;ѕЁ«Џ;30;92.35;0;0;84.58;25.51;6.09;173;20.63;8.80;гжеж»;гжеж»
”Џжѕ «бЌ—»н;26;ѕЁ«Џ;10;68.33;4;2;72.66;31.11;8.87;135;16.99;7.28;гжеж»;гжеж»
д«’— «бџ«гѕн;25;ѕЁ«Џ;78;72.08;1;0;58.68;29.74;6.81;156;26.16;8.28;гжеж»;гжеж»
Џ»ѕ«ббе «б‘г—н;20;ећжг;66;71.76;0;2;56.51;31.35;9.43;141;19.09;5.43;џн— гжеж»;џн— гжеж»
Ёеѕ «бЏ н»н;27;ѕЁ«Џ;67;74.98;6;5;81.41;31.43;11.15;170;26.50;7.67;гжеж»;гжеж»
гЌгѕ «б—жнбн;17;ѕЁ«Џ;81;76.66;2;3;66.04;30.00;7.10;151;48.50;7.81;гжеж»;гжеж»
Ёеѕ «бЌ—»н;27;Ќ«—”;31;74.21;3;3;43.12;27.34;7.49;171;12.23;7.42;гжеж»;гжеж»
”Џжѕ «бЌ—»н;29;Ќ«—”;78;92.46;10;3;56.51;31.70;6.92;168;12.21;5.36;џн— гжеж»;џн— гжеж»
ќ«бѕ «бЌ—»н;27;ж”Ў;13;90.68;8;6;73.96;32.93;7.66;144;38.36;7.43;гжеж»;гжеж»
Ёеѕ «бЏ н»н;24;ж”Ў;17;68.86;5;3;62.43;30.58;9.02;129;28.74;5.14;џн— гжеж»;џн— гжеж»
”«бг «бЏ н»н;19;Ќ«—”;40;75.21;3;0;76.28;26.38;8.18;172;31.80;5.89;џн— гжеж»;џн— гжеж»
ќ«бѕ «б‘г—н;18;ећжг;35;75.64;7;2;46.73;29.86;9.55;146;33.95;4.81;џн— гжеж»;џн— гжеж»
”«бг «бг«бян;20;ѕЁ«Џ;23;81.90;4;2;76.05;30.99;9.50;148;18.89;6.59;џн— гжеж»;џн— гжеж»
”«бг «б»бжн;25;Ќ«—”;84;65.20;5;0;79.13;32.44;8.03;137;42.88;7.64;гжеж»;гжеж»
 —ян «б»бжн;21;ж”Ў;84;71.24;9;2;53.85;32.00;7.76;163;28.71;6.80;џн— гжеж»;џн— гжеж»
√Ќгѕ «б—жнбн;22;Ќ«—”;42;75.56;6;2;43.73;29.69;6.77;149;39.28;5.02;џн— гжеж»;џн— гжеж»
—«я«д «бџ«гѕн;21;ѕЁ«Џ;66;66.77;5;0;66.76;26.73;7.97;148;23.19;5.66;џн— гжеж»;џн— гжеж»
Ёеѕ «б—жнбн;23;ж”Ў;75;86.29;0;0;58.85;31.27;8.41;148;42.00;7.80;гжеж»;гжеж»
√Ќгѕ «б‘г—н;26;ж”Ў;58;73.67;4;0;76.92;33.20;6.74;178;30.81;8.42;гжеж»;гжеж»
√Ќгѕ «бџ«гѕн;24;ж”Ў;81;68.48;11;1;76.17;26.61;10.05;134;12.07;6.34;џн— гжеж»;џн— гжеж»
д«’— «б“е—«дн;18;ж”Ў;18;86.61;6;5;83.73;28.73;8.89;116;15.33;4.83;џн— гжеж»;џн— гжеж»
—«я«д «бёЌЎ«дн;24;ж”Ў;27;63.03;8;4;41.5;31.06;9.84;174;34.86;6.73;џн— гжеж»;џн— гжеж»
”«бг «бг«бян;23;Ќ«—”;21;87.50;5;5;82.27;26.70;8.89;153;13.14;9.81;гжеж»;гжеж»
Ёеѕ «бЏ н»н;21;ећжг;61;85.94;0;0;52.02;25.04;8.38;139;13.24;6.46;џн— гжеж»;џн— гжеж»
”Џжѕ «б»бжн;20;ѕЁ«Џ;48;60.13;1;0;82.02;33.43;10.30;132;20.61;7.61;гжеж»;гжеж»
√Ќгѕ «бџ«гѕн;26;ж”Ў;36;66.57;9;6;45.16;30.30;6.58;157;13.81;4.81;џн— гжеж»;џн— гжеж»
Ёеѕ «б“е—«дн;20;ж”Ў;60;94.75;8;4;69.78;27.61;9.49;129;45.18;6.41;џн— гжеж»;џн— гжеж»
 —ян «б—жнбн;27;ѕЁ«Џ;47;76.07;9;0;76.56;29.95;9.46;144;42.85;8.12;гжеж»;гжеж»
Ёеѕ «б‘г—н;24;ж”Ў;42;64.33;8;2;79.81;26.12;8.62;146;24.94;8.80;гжеж»;гжеж»
”Џжѕ «б“е—«дн;21;ећжг;79;90.60;3;0;45.91;28.47;8.94;167;14.65;7.50;гжеж»;гжеж»
”Џжѕ «б“е—«дн;16;Ќ«—”;50;73.43;8;4;74.71;29.19;9.46;130;26.93;5.42;џн— гжеж»;џн— гжеж»
д«’— «бёЌЎ«дн;20;ж”Ў;49;86.01;4;1;44.22;27.20;7.40;144;48.73;5.74;џн— гжеж»;џн— гжеж»
ќ«бѕ «б»бжн;24;Ќ«—”;60;88.74;7;6;72.38;29.25;6.86;138;33.82;7.95;гжеж»;гжеж»
д«’— «бЏ н»н;19;Ќ«—”;53;93.37;6;5;62.66;32.52;10.59;145;27.71;5.65;џн— гжеж»;џн— гжеж»
”«бг «б“е—«дн;29;ж”Ў;39;74.39;3;2;52.47;28.67;10.24;178;14.89;5.94;џн— гжеж»;џн— гжеж»
д«’— «бЏ н»н;20;ж”Ў;46;66.47;7;3;60.39;33.69;7.82;174;23.61;7.96;гжеж»;гжеж»
”Џжѕ «бЏд“н;26;Ќ«—”;58;62.94;3;1;53.77;29.95;6.28;144;48.95;6.36;џн— гжеж»;џн— гжеж»
”Џжѕ «б—жнбн;16;Ќ«—”;42;73.17;6;0;41.45;25.72;8.67;121;17.06;7.56;гжеж»;гжеж»
—«я«д «бг«бян;24;ећжг;34;60.20;3;5;55.02;30.56;6.22;134;39.65;5.95;џн— гжеж»;џн— гжеж»
”Џжѕ «бЏ н»н;30;Ќ«—”;42;75.53;6;3;57.79;29.95;6.99;126;16.36;8.52;гжеж»;гжеж»
д«’— «б“е—«дн;28;ѕЁ«Џ;18;80.91;6;1;66.84;34.04;10.02;160;16.24;8.56;гжеж»;гжеж»
гЌгѕ «б“е—«дн;25;ѕЁ«Џ;61;89.96;8;4;81.22;33.62;9.04;173;32.39;5.09;џн— гжеж»;џн— гжеж»
—«я«д «б—жнбн;17;ѕЁ«Џ;56;86.74;5;3;70.03;24.60;9.19;165;26.24;9.32;гжеж»;гжеж»
гЌгѕ «бџ«гѕн;21;ећжг;35;60.01;9;5;76.85;28.97;5.93;139;30.89;6.69;џн— гжеж»;џн— гжеж»
—«я«д «бг«бян;17;ећжг;68;73.60;11;4;81.44;30.92;11.47;169;27.55;9.27;гжеж»;гжеж»
 —ян «бг«бян;19;Ќ«—”;85;74.82;5;1;58.28;28.53;9.01;168;42.99;4.86;џн— гжеж»;џн— гжеж»
”«бг «бЏ н»н;16;Ќ«—”;23;74.82;6;1;40.43;31.13;10.79;165;47.54;9.71;гжеж»;гжеж»
”«бг «бџ«гѕн;22;ж”Ў;32;67.03;2;5;72.89;25.21;11.61;175;25.82;7.08;гжеж»;гжеж»
гЌгѕ «б“е—«дн;24;ећжг;15;84.75;2;1;49.15;31.23;8.47;125;29.66;9.61;гжеж»;гжеж»
”Џжѕ «бџ«гѕн;20;Ќ«—”;55;76.51;6;2;56.96;29.09;9.59;129;24.35;8.47;гжеж»;гжеж»
ќ«бѕ «б“е—«дн;18;ѕЁ«Џ;39;72.53;8;0;53.26;30.19;8.21;148;18.76;5.73;џн— гжеж»;џн— гжеж»
”«бг «бЏд“н;19;Ќ«—”;19;73.87;3;3;79.45;28.30;7.81;125;28.65;5.21;џн— гжеж»;џн— гжеж»
Ёеѕ «бЏд“н;25;Ќ«—”;18;91.65;2;0;77.31;29.58;8.12;126;27.49;6.92;гжеж»;џн— гжеж»
ќ«бѕ «б“е—«дн;18;Ќ«—”;53;84.96;7;4;60.08;33.13;8.94;125;11.57;7.88;гжеж»;гжеж»
д«’— «бЏ н»н;18;ѕЁ«Џ;32;66.69;1;0;76.49;27.18;8.70;179;41.66;7.01;џн— гжеж»;гжеж»
—«я«д «бЏ н»н;16;Ќ«—”;26;73.92;4;3;54.02;29.67;8.62;151;42.29;6.73;џн— гжеж»;џн— гжеж»
”Џжѕ «б“е—«дн;26;ѕЁ«Џ;13;73.95;3;1;65.17;30.09;7.29;156;31.57;4.22;џн— гжеж»;џн— гжеж»
гЌгѕ «бг«бян;24;Ќ«—”;73;94.22;7;1;67.09;29.86;8.28;147;34.35;7.46;гжеж»;гжеж»
гЌгѕ «бёЌЎ«дн;30;ѕЁ«Џ;24;63.18;8;0;48.43;33.43;7.92;125;22.21;6.81;гжеж»;џн— гжеж»
Џ»ѕ«ббе «б»бжн;17;ж”Ў;49;75.19;7;4;84.16;32.63;7.70;174;25.37;8.46;гжеж»;гжеж»
ќ«бѕ «б—жнбн;23;ж”Ў;63;90.17;5;0;65.5;24.90;6.65;178;47.37;8.00;гжеж»;гжеж»
Џ»ѕ«ббе «бг«бян;17;ѕЁ«Џ;70;84.49;9;4;45.07;27.41;11.32;132;26.77;9.04;гжеж»;гжеж»
”«бг «б»бжн;27;ж”Ў;78;74.25;5;0;59.32;32.54;10.34;138;38.99;9.42;гжеж»;гжеж»
Џ»ѕ«ббе «б—жнбн;18;ећжг;70;74.92;7;1;84.49;29.95;9.97;180;22.84;5.62;џн— гжеж»;џн— гжеж»
Џ»ѕ«ббе «б»бжн;26;ећжг;41;60.80;2;0;63.77;26.11;8.24;129;16.18;4.23;џн— гжеж»;џн— гжеж»
”Џжѕ «б‘г—н;27;ж”Ў;79;78.93;7;0;81.16;25.20;11.42;119;36.51;7.19;гжеж»;гжеж»
Џ»ѕ«ббе «бёЌЎ«дн;19;ећжг;71;61.71;11;1;82.25;31.69;9.11;131;14.33;7.11;гжеж»;гжеж»
”«бг «бЌ—»н;15;ећжг;72;75.75;0;0;80.15;27.84;10.14;131;37.78;7.41;гжеж»;гжеж»
д«’— «бЏ н»н;22;Ќ«—”;34;78.06;8;4;82.59;25.00;6.69;180;24.37;5.23;џн— гжеж»;џн— гжеж»
 —ян «бёЌЎ«дн;20;Ќ«—”;62;69.41;6;4;53.73;25.97;6.32;144;34.50;7.75;гжеж»;гжеж»
√Ќгѕ «б—жнбн;20;ећжг;50;82.22;5;3;71.61;25.09;11.37;144;21.98;6.20;џн— гжеж»;џн— гжеж»
гЌгѕ «бёЌЎ«дн;20;Ќ«—”;39;84.72;2;0;78.04;32.59;10.91;144;38.41;5.81;џн— гжеж»;џн— гжеж»
гЌгѕ «б‘г—н;19;Ќ«—”;61;80.28;5;4;49.68;26.54;10.31;121;42.10;5.10;џн— гжеж»;џн— гжеж»
 —ян «бг«бян;20;ѕЁ«Џ;82;85.41;1;1;80.66;25.16;6.54;176;9.42;7.67;гжеж»;гжеж»
д«’— «бЏ н»н;19;ж”Ў;56;76.54;8;3;69.25;31.23;9.09;177;36.45;9.02;гжеж»;гжеж»
гЌгѕ «б“е—«дн;26;ѕЁ«Џ;29;75.01;5;0;66.26;33.01;7.80;155;27.76;7.47;гжеж»;гжеж»
√Ќгѕ «бЌ—»н;20;ећжг;63;84.28;6;4;50;28.42;6.57;130;34.54;8.86;гжеж»;гжеж»
”«бг «б‘г—н;20;Ќ«—”;87;80.78;4;2;63.6;34.04;8.44;174;38.46;7.43;гжеж»;гжеж»
”Џжѕ «б—жнбн;16;ећжг;34;63.41;6;0;56.88;32.42;6.75;175;26.78;5.00;џн— гжеж»;џн— гжеж»
√Ќгѕ «б‘г—н;25;ѕЁ«Џ;83;68.00;3;0;72.45;25.42;9.93;159;37.54;7.57;гжеж»;гжеж»
гЌгѕ «бЌ—»н;20;ж”Ў;21;62.59;11;1;70.8;33.74;7.06;141;44.28;7.28;гжеж»;гжеж»
 —ян «бџ«гѕн;18;ећжг;82;83.58;4;2;83.16;29.30;10.66;174;18.85;8.39;гжеж»;гжеж»
Ёеѕ «бЌ—»н;20;ж”Ў;22;63.13;2;3;76.09;30.47;9.48;134;19.94;5.44;џн— гжеж»;џн— гжеж»
”Џжѕ «бг«бян;23;Ќ«—”;74;86.40;0;0;86.4;24.87;8.10;183;18.21;8.47;гжеж»;гжеж»
 —ян «б»бжн;23;Ќ«—”;61;85.90;2;1;52.71;29.49;6.98;170;48.51;7.79;гжеж»;гжеж»
д«’— «бЌ—»н;24;ећжг;19;94.27;5;4;67.66;24.75;11.79;134;35.26;8.47;гжеж»;гжеж»
Џ»ѕ«ббе «б»бжн;25;ж”Ў;85;87.40;4;2;72.25;33.48;6.48;135;18.00;5.93;џн— гжеж»;џн— гжеж»
”Џжѕ «бџ«гѕн;18;ећжг;54;87.66;4;0;89.72;29.10;9.15;145;23.39;5.17;џн— гжеж»;џн— гжеж»
 —ян «бЏд“н;27;Ќ«—”;87;75.09;2;0;50.24;27.63;10.11;183;45.57;7.31;гжеж»;гжеж»
гЌгѕ «б—жнбн;23;ѕЁ«Џ;76;67.46;2;0;55.2;29.02;6.23;142;41.69;5.59;џн— гжеж»;џн— гжеж»
д«’— «бг«бян;21;ѕЁ«Џ;40;87.43;2;1;52.26;33.98;10.75;137;12.30;8.10;гжеж»;гжеж»
”Џжѕ «бёЌЎ«дн;23;Ќ«—”;73;68.69;4;3;88.63;28.07;8.94;160;38.76;6.87;гжеж»;џн— гжеж»
гЌгѕ «бЏ н»н;23;ећжг;66;87.64;0;0;88.91;32.35;7.62;131;18.02;8.91;гжеж»;гжеж»
Ёеѕ «бЏ н»н;28;ѕЁ«Џ;36;89.82;2;1;46.68;27.87;6.65;155;13.22;8.80;гжеж»;гжеж»
гЌгѕ «б»бжн;27;ећжг;20;90.69;6;5;54.61;31.74;9.48;174;22.93;6.98;џн— гжеж»;џн— гжеж»
”Џжѕ «бёЌЎ«дн;20;Ќ«—”;85;70.90;5;0;75.37;32.21;8.22;142;24.02;5.57;џн— гжеж»;џн— гжеж»
”«бг «б“е—«дн;27;ж”Ў;85;75.61;3;1;87.59;26.07;11.08;128;40.91;7.93;гжеж»;гжеж»
 —ян «бЏд“н;21;Ќ«—”;90;89.53;0;0;62.13;24.77;11.02;164;12.52;4.25;џн— гжеж»;џн— гжеж»
ќ«бѕ «б‘г—н;22;ећжг;30;86.09;9;0;42.91;26.20;11.19;155;29.97;4.44;џн— гжеж»;џн— гжеж»
 —ян «бЌ—»н;23;Ќ«—”;48;75.41;4;1;89.96;25.84;9.08;154;12.13;5.13;џн— гжеж»;џн— гжеж»
ќ«бѕ «бг«бян;24;Ќ«—”;74;77.35;7;2;53.77;30.49;11.02;175;33.96;6.86;џн— гжеж»;џн— гжеж»
гЌгѕ «бЏд“н;22;ѕЁ«Џ;33;86.61;0;1;74.34;33.42;7.76;142;19.38;8.58;гжеж»;гжеж»
Џ»ѕ«ббе «бЏд“н;24;ећжг;27;79.42;8;6;72.06;28.07;10.08;176;38.08;6.21;џн— гжеж»;џн— гжеж»
√Ќгѕ «бЏ н»н;22;ѕЁ«Џ;91;60.23;3;1;44.5;31.81;10.62;168;10.16;7.84;гжеж»;гжеж»
д«’— «б—жнбн;24;ећжг;34;66.14;7;0;55.47;27.99;10.53;165;13.48;8.24;гжеж»;гжеж»
—«я«д «б»бжн;24;ѕЁ«Џ;19;85.62;7;2;62.26;24.88;7.07;177;26.05;6.44;џн— гжеж»;џн— гжеж»
√Ќгѕ «бЏд“н;23;ж”Ў;81;91.57;5;1;58.63;30.79;6.85;128;47.16;6.46;џн— гжеж»;џн— гжеж»
”«бг «б“е—«дн;24;Ќ«—”;54;81.05;3;0;81.92;28.61;7.95;143;33.92;8.52;гжеж»;гжеж»
 —ян «бЏд“н;17;ж”Ў;57;84.64;1;0;45.89;27.79;9.11;141;40.73;6.85;гжеж»;џн— гжеж»
